충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,,,,,,,,,,,,,,,,,,,,,,,,,,
천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,,,,,,,,,,,,,,,,,,,,,,,,,,
-,91.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
74.9,91.5,-,-,80.3,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
92.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
123.5,100.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
120.7,100.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,83.6,-,-,-,-,-,78.2,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,67.4,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,65.3,-,-,-,-,83.5,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
